[2023-07-20 11:00:00,369] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:00,416] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:01,439] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:01,440] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:02,565] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:02,566] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:03,782] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:03,782] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:04,748] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:04,749] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:05,605] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:05,605] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:06,722] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:06,723] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:07,689] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:07,689] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:08,756] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:08,756] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:09,827] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:09,828] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:10,857] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:10,858] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:11,732] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:11,733] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:12,812] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:12,812] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:13,735] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:13,735] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
[2023-07-20 11:00:14,758] INFO [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Node 0 disconnected. (org.apache.kafka.clients.NetworkClient:935)
[2023-07-20 11:00:14,759] WARN [bigquery-sink-connector|task-0] [Consumer clientId=connector-consumer-bigquery-sink-connector-0, groupId=connect-bigquery-sink-connector] Connection to node 0 (/0.0.0.0:9092) could not be established. Broker may not be available. (org.apache.kafka.clients.NetworkClient:775)
